tweets,health_index,depression_risk,anxiety_risk,stress_level,social_isolation,self_esteem_issues,emotional_instability,emotional_signature
Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right,60,75,53,52,44,50,53,"Sad, withdrawn, anxious"
People are driving me crazy ||| Why does this always happen to me? ||| People are driving me crazy ||| Angry and exhausted 😡 ||| People are driving me crazy,57,27,63,79,23,46,61,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| This is so frustrating!,42,29,44,63,44,44,65,"Irritable, stressed, impatient"
I hate Mondays ||| I hate Mondays ||| I hate Mondays ||| Feeling down today... ||| I hate Mondays,32,72,60,67,67,57,66,"Sad, withdrawn, anxious"
Had a wonderful lunch with friends ||| I had a great day today! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends,83,16,12,6,5,9,9,"Calm, joyful, optimistic"
Why does this always happen to me? ||| This is so frustrating! ||| This is so frustrating! ||| I can't stand traffic anymore ||| This is so frustrating!,62,27,54,75,42,37,82,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| People are driving me crazy ||| Angry and exhausted 😡 ||| This is so frustrating! ||| This is so frustrating!,55,40,69,78,29,35,86,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling down today... ||| Feeling lonely and anxious ||| Feeling down today...,51,86,53,52,54,48,69,"Sad, withdrawn, anxious"
Excited about my new project! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Had a wonderful lunch with friends,87,1,11,8,13,7,0,"Calm, joyful, optimistic"
Why does this always happen to me? ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Angry and exhausted 😡,40,30,61,65,31,48,76,"Irritable, stressed, impatient"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Had a wonderful lunch with friends",98,15,1,15,3,17,17,"Calm, joyful, optimistic"
"I had a great day today! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",81,9,13,23,9,9,15,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Excited about my new project!",83,1,20,9,8,15,12,"Calm, joyful, optimistic"
"I had a great day today! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment",88,18,2,20,16,2,14,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Feeling down today...,55,82,63,41,55,65,62,"Sad, withdrawn, anxious"
Excited about my new project! ||| I had a great day today! ||| Excited about my new project! ||| I had a great day today! ||| I had a great day today!,100,10,10,27,15,0,4,"Calm, joyful, optimistic"
This is so frustrating! ||| Angry and exhausted 😡 ||| This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡,40,39,59,72,33,33,87,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Life is tough sometimes ||| Life is tough sometimes,43,71,75,45,47,58,59,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Why does this always happen to me? ||| Why does this always happen to me? ||| This is so frustrating! ||| Why does this always happen to me?,48,38,60,63,21,43,80,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| I had a great day today! ||| I had a great day today! ||| Life is beautiful, enjoying every moment",84,10,12,0,1,15,13,"Calm, joyful, optimistic"
Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Excited about my new project!,93,3,6,3,7,5,15,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Feeling blessed and happy 😊",91,2,4,15,6,14,4,"Calm, joyful, optimistic"
Life is tough sometimes ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling lonely and anxious ||| Feeling down today...,50,82,62,45,75,63,80,"Sad, withdrawn, anxious"
This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating! ||| Angry and exhausted 😡 ||| Why does this always happen to me?,43,25,59,85,31,49,79,"Irritable, stressed, impatient"
Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling lonely and anxious,33,66,80,47,73,67,72,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project!",91,0,6,11,15,4,20,"Calm, joyful, optimistic"
Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project! ||| I had a great day today!,92,20,2,21,7,3,3,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Angry and exhausted 😡,45,37,68,65,33,21,60,"Irritable, stressed, impatient"
I hate Mondays ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays,39,67,64,70,60,57,60,"Sad, withdrawn, anxious"
Feeling down today... ||| Feeling down today... ||| I hate Mondays ||| Nothing seems to go right ||| Feeling down today...,56,73,71,45,58,52,80,"Sad, withdrawn, anxious"
"I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends",100,11,18,25,18,19,11,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays,37,71,77,60,62,51,58,"Sad, withdrawn, anxious"
Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Feeling blessed and happy 😊,94,15,3,16,3,7,3,"Calm, joyful, optimistic"
Feeling blessed and happy 😊 ||| Excited about my new project! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project!,88,9,18,27,5,19,2,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy ||| Angry and exhausted 😡 ||| Why does this always happen to me?,56,24,47,88,30,30,84,"Irritable, stressed, impatient"
Feeling down today... ||| Life is tough sometimes ||| Feeling down today... ||| I hate Mondays ||| Life is tough sometimes,38,78,77,40,42,42,80,"Sad, withdrawn, anxious"
I had a great day today! ||| I had a great day today! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊,87,14,7,15,10,6,6,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore,45,38,56,76,46,43,86,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Nothing seems to go right ||| I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays,50,65,56,52,74,53,62,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| This is so frustrating! ||| Why does this always happen to me? ||| People are driving me crazy ||| This is so frustrating!,62,31,54,68,22,48,79,"Irritable, stressed, impatient"
This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore ||| Why does this always happen to me?,52,28,70,90,36,27,64,"Irritable, stressed, impatient"
Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today!,86,3,17,15,12,18,20,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",91,7,0,18,20,3,4,"Calm, joyful, optimistic"
People are driving me crazy ||| This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| This is so frustrating!,64,33,45,69,37,36,68,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment",92,1,20,9,15,6,6,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling down today... ||| I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right,51,77,69,53,45,46,69,"Sad, withdrawn, anxious"
Feeling down today... ||| Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| I hate Mondays,54,85,72,49,43,65,76,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",100,19,17,27,11,14,9,"Calm, joyful, optimistic"
Nothing seems to go right ||| I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right,53,60,70,45,48,69,60,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| I can't stand traffic anymore ||| This is so frustrating! ||| People are driving me crazy ||| Angry and exhausted 😡,63,24,65,63,39,39,76,"Irritable, stressed, impatient"
I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Excited about my new project! ||| Had a wonderful lunch with friends,81,7,2,27,16,16,3,"Calm, joyful, optimistic"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today!",89,9,1,25,11,14,16,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| Why does this always happen to me? ||| Why does this always happen to me? ||| People are driving me crazy ||| This is so frustrating!,60,23,55,66,48,32,78,"Irritable, stressed, impatient"
"Excited about my new project! ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",83,11,5,12,8,16,20,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends",100,16,8,17,10,13,4,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends",94,20,6,17,4,20,2,"Calm, joyful, optimistic"
Why does this always happen to me? ||| I can't stand traffic anymore ||| This is so frustrating! ||| This is so frustrating! ||| I can't stand traffic anymore,60,31,53,76,49,35,80,"Irritable, stressed, impatient"
Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right ||| Nothing seems to go right ||| Feeling down today...,45,79,64,70,46,46,78,"Sad, withdrawn, anxious"
Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays,32,67,70,68,59,60,68,"Sad, withdrawn, anxious"
People are driving me crazy ||| People are driving me crazy ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| I can't stand traffic anymore,54,31,66,61,47,43,84,"Irritable, stressed, impatient"
Why does this always happen to me? ||| This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating!,43,50,67,78,30,45,65,"Irritable, stressed, impatient"
I hate Mondays ||| Feeling lonely and anxious ||| Feeling down today... ||| Feeling down today... ||| Feeling down today...,52,82,70,42,65,70,78,"Sad, withdrawn, anxious"
"I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",99,6,16,30,18,4,6,"Calm, joyful, optimistic"
Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Had a wonderful lunch with friends,84,7,3,7,1,15,7,"Calm, joyful, optimistic"
"I had a great day today! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends",80,5,7,15,11,7,12,"Calm, joyful, optimistic"
I hate Mondays ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today... ||| Feeling lonely and anxious,41,72,61,48,67,46,64,"Sad, withdrawn, anxious"
People are driving me crazy ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating! ||| Angry and exhausted 😡,66,22,56,66,24,21,66,"Irritable, stressed, impatient"
Nothing seems to go right ||| Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Nothing seems to go right,51,64,76,56,49,42,69,"Sad, withdrawn, anxious"
"I had a great day today! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends",81,7,17,12,13,0,9,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today!",90,15,5,9,13,14,17,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| Why does this always happen to me? ||| People are driving me crazy,55,26,56,63,46,37,88,"Irritable, stressed, impatient"
Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊,84,13,9,29,17,4,18,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends",82,20,12,15,17,16,12,"Calm, joyful, optimistic"
Nothing seems to go right ||| Feeling down today... ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Nothing seems to go right,59,89,68,43,68,61,76,"Sad, withdrawn, anxious"
This is so frustrating! ||| Why does this always happen to me? ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| I can't stand traffic anymore,49,29,45,68,38,37,90,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today!",83,14,9,17,6,9,8,"Calm, joyful, optimistic"
This is so frustrating! ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| This is so frustrating! ||| People are driving me crazy,52,42,54,87,49,28,70,"Irritable, stressed, impatient"
This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy ||| This is so frustrating! ||| Why does this always happen to me?,59,22,67,79,40,22,75,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| I hate Mondays ||| Life is tough sometimes ||| Feeling lonely and anxious,58,70,74,46,44,70,51,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,62,39,54,74,20,40,81,"Irritable, stressed, impatient"
Life is tough sometimes ||| Nothing seems to go right ||| Life is tough sometimes ||| Nothing seems to go right ||| Life is tough sometimes,47,82,63,63,50,53,56,"Sad, withdrawn, anxious"
This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy ||| I can't stand traffic anymore,46,39,58,86,20,20,71,"Irritable, stressed, impatient"
Life is tough sometimes ||| I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right ||| Nothing seems to go right,37,60,71,61,40,51,52,"Sad, withdrawn, anxious"
People are driving me crazy ||| This is so frustrating! ||| I can't stand traffic anymore ||| This is so frustrating! ||| Why does this always happen to me?,58,49,45,82,40,31,66,"Irritable, stressed, impatient"
I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today...,45,88,52,54,45,40,54,"Sad, withdrawn, anxious"
Feeling down today... ||| Nothing seems to go right ||| I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right,51,88,51,53,41,69,57,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right ||| Feeling down today...,55,78,79,40,72,57,66,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| I had a great day today!",93,7,15,19,11,17,13,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling down today... ||| Life is tough sometimes ||| I hate Mondays ||| Nothing seems to go right,58,71,76,51,72,41,79,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Why does this always happen to me? ||| Why does this always happen to me? ||| This is so frustrating! ||| Why does this always happen to me?,57,29,49,76,35,24,68,"Irritable, stressed, impatient"
I hate Mondays ||| Feeling down today... ||| I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right,41,65,77,66,40,49,57,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me?,67,23,59,74,39,43,75,"Irritable, stressed, impatient"
People are driving me crazy ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| People are driving me crazy ||| I can't stand traffic anymore,44,38,56,66,28,41,90,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right,50,88,51,66,47,70,67,"Sad, withdrawn, anxious"
Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Excited about my new project! ||| I had a great day today!,92,1,3,5,2,2,4,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| This is so frustrating! ||| Why does this always happen to me? ||| People are driving me crazy ||| Why does this always happen to me?,50,50,63,85,22,29,81,"Irritable, stressed, impatient"
"Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",95,9,12,30,4,8,0,"Calm, joyful, optimistic"
Nothing seems to go right ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Life is tough sometimes,55,89,54,60,60,59,73,"Sad, withdrawn, anxious"
"Feeling blessed and happy 😊 ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",99,19,14,27,0,8,3,"Calm, joyful, optimistic"
People are driving me crazy ||| People are driving me crazy ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| Why does this always happen to me?,57,45,49,61,31,23,69,"Irritable, stressed, impatient"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today!",82,20,10,20,5,20,16,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling down today... ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays,60,65,79,53,76,61,57,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore,53,34,55,68,27,40,69,"Irritable, stressed, impatient"
Why does this always happen to me? ||| People are driving me crazy ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| People are driving me crazy,66,21,69,79,28,50,60,"Irritable, stressed, impatient"
This is so frustrating! ||| People are driving me crazy ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| This is so frustrating!,58,39,42,64,28,35,78,"Irritable, stressed, impatient"
I hate Mondays ||| Feeling down today... ||| Life is tough sometimes ||| Feeling down today... ||| I hate Mondays,55,85,77,53,56,43,59,"Sad, withdrawn, anxious"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",81,12,13,30,3,17,12,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| Why does this always happen to me? ||| People are driving me crazy ||| Why does this always happen to me? ||| Why does this always happen to me?,54,22,62,84,23,29,63,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling down today... ||| Feeling lonely and anxious ||| Feeling down today... ||| Life is tough sometimes,58,74,75,60,60,58,63,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",81,14,4,27,18,16,14,"Calm, joyful, optimistic"
Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays,32,83,78,52,58,62,52,"Sad, withdrawn, anxious"
Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊,90,15,4,8,19,5,5,"Calm, joyful, optimistic"
I hate Mondays ||| I hate Mondays ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays,55,69,57,60,58,41,72,"Sad, withdrawn, anxious"
"I had a great day today! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| I had a great day today!",97,13,11,6,7,10,10,"Calm, joyful, optimistic"
I had a great day today! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| I had a great day today!,91,2,16,22,13,8,11,"Calm, joyful, optimistic"
I had a great day today! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊,91,1,10,0,19,20,4,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| This is so frustrating! ||| This is so frustrating! ||| Angry and exhausted 😡 ||| Why does this always happen to me?,70,26,61,79,35,33,68,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling down today... ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious,54,64,74,47,51,41,75,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy ||| Angry and exhausted 😡 ||| Angry and exhausted 😡,68,42,65,71,27,24,74,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",81,10,19,19,10,7,17,"Calm, joyful, optimistic"
Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays,49,77,51,62,70,46,57,"Sad, withdrawn, anxious"
This is so frustrating! ||| People are driving me crazy ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| I can't stand traffic anymore,56,39,42,72,45,21,72,"Irritable, stressed, impatient"
I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes,41,66,53,47,66,44,52,"Sad, withdrawn, anxious"
Feeling down today... ||| Life is tough sometimes ||| Feeling down today... ||| Life is tough sometimes ||| I hate Mondays,52,85,62,70,65,42,62,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| People are driving me crazy ||| People are driving me crazy ||| This is so frustrating! ||| Why does this always happen to me?,51,43,48,74,23,48,68,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| I had a great day today!",92,10,3,24,12,20,18,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends",84,15,15,22,12,20,11,"Calm, joyful, optimistic"
I hate Mondays ||| I hate Mondays ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today...,35,67,65,57,58,68,54,"Sad, withdrawn, anxious"
Feeling down today... ||| Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays ||| Feeling lonely and anxious,58,69,51,56,69,68,78,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends",95,18,7,30,2,7,18,"Calm, joyful, optimistic"
Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right ||| Feeling down today... ||| Feeling down today...,31,87,60,51,43,70,52,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me?,49,40,47,75,44,34,75,"Irritable, stressed, impatient"
Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| I hate Mondays ||| Nothing seems to go right,59,72,80,55,76,69,53,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays ||| Feeling down today... ||| Feeling down today...,32,61,52,57,40,67,67,"Sad, withdrawn, anxious"
People are driving me crazy ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| People are driving me crazy ||| Angry and exhausted 😡,42,45,42,62,24,42,61,"Irritable, stressed, impatient"
